WHITE,,,,,,,,,,,,,
Dutch,rnbqkbnr/ppppp1pp/8/5p2/3P4/8/PPP1PPPP/RNBQKBNR w,g2-g3,0.5,c2-c4,0.1,g1-f3,0.2,b1-c3,0.1,c1-g5,0.1,,
Dutch transp,rnbqkbnr/pppp2pp/4p3/5p2/2PP4/8/PP2PPPP/RNBQKBNR w,g2-g3,0.6,g1-f3,0.3,b1-c3,0.1,,,,,,
g3 dutch,rnbqkb1r/ppppp1pp/5n2/5p2/3P4/6P1/PPP1PP1P/RNBQKBNR w,f1-g2,1,,,,,,,,,,
g1-f3 Dutch,rnbqkb1r/ppppp1pp/5n2/5p2/2PP4/8/PP2PPPP/RNBQKBNR w,b1-c3,0.5,g2-g3,0.4,g1-f3,0.1,,,,,,
c4 dutch,rnbqkb1r/pppp2pp/4pn2/5p2/2PP4/6P1/PP2PP1P/RNBQKBNR w,f1-g2,1,,,,,,,,,,
c4 dutch,rnbqkb1r/pppp2pp/4pn2/5p2/2PP4/5N2/PP2PPPP/RNBQKB1R w,g2-g3,0.6,b1-c3,0.3,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
QGD,rnbqkbnr/ppp2ppp/4p3/3p4/2PP4/8/PP2PPPP/RNBQKBNR w,b1-c3,0.7,g1-f3,0.3,,,,,,,,
Nf3 QGD,rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/5N2/PP2PPPP/RNBQKB1R w,b1-c3,0.7,g2-g3,0.3,,,,,,,,
Nc3 QGD,rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR w,c4-d5,0.5,c1-g5,0.3,g1-f3,0.2,,,,,,
semi slav,rnbqkb1r/pp3ppp/2p1pn2/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R w,c1-g5,0.5,e2-e3,0.5,,,,,,,,
Slav,rnbqkbnr/pp2pppp/2p5/3p4/2PP4/8/PP2PPPP/RNBQKBNR w,g1-f3,0.6,b1-c3,0.3,c4-d5,0.1,,,,,,
Nf3 Slav,rnbqkb1r/pp2pppp/2p2n2/3p4/2PP4/5N2/PP2PPPP/RNBQKB1R w,b1-c3,0.7,e2-e3,0.3,,,,,,,,
Nc3 Slav,rnbqkb1r/pp2pppp/2p2n2/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR w,g1-f3,0.5,c4-d5,0.1,e2-e3,0.4,,,,,,
Pure slav,rnbqkb1r/pp2pppp/2p2n2/8/2pP4/2N2N2/PP2PPPP/R1BQKB1R w,a2-a4,1,,,,,,,,,,
a6 slav,rnbqkb1r/1p2pppp/p1p2n2/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R w,c4-c5,0.4,e2-e3,0.4,c4-d5,0.1,a2-a4,0.1,,,,
QGA,rnbqkbnr/ppp1pppp/8/8/2pP4/8/PP2PPPP/RNBQKBNR w,g1-f3,0.4,e2-e4,0.3,e2-e3,0.2,b1-c3,0.1,,,,
+Nf6,rnbqkb1r/ppp1pppp/5n2/8/2pP4/5N2/PP2PPPP/RNBQKB1R w,e2-e3,0.7,b1-c3,0.3,,,,,,,,
+e6,rnbqkbnr/ppp2ppp/4p3/8/2pP4/5N2/PP2PPPP/RNBQKB1R w,e2-e3,0.8,d1-a4,0.1,e2-e4,0.1,,,,,,
+a6,rnbqkbnr/1pp1pppp/p7/8/2pP4/5N2/PP2PPPP/RNBQKB1R w,e2-e3,0.7,a2-a4,0.2,b1-c3,0.1,,,,,,
,rnbqkb1r/ppp1pppp/5n2/8/2pP4/4P3/PP3PPP/RNBQKBNR w,f1-c4,1,,,,,,,,,,
,rnbqkb1r/ppp2ppp/4pn2/8/2pP4/4PN2/PP3PPP/RNBQKB1R w,f1-c4,1,,,,,,,,,,
,rnbqkb1r/pp3ppp/4pn2/2p5/2BP4/4PN2/PP3PPP/RNBQK2R w,e1-g1,1,,,,,,,,,,
chigorin,r1bqkbnr/ppp1pppp/2n5/3p4/2PP4/8/PP2PPPP/RNBQKBNR w,b1-c3,0.4,g1-f3,0.3,c4-d5,0.2,e2-e3,0.1,,,,
albin,rnbqkbnr/ppp2ppp/8/3pp3/2PP4/8/PP2PPPP/RNBQKBNR w,d4-e5,1,,,,,,,,,,
,rnbqkbnr/ppp2ppp/8/4P3/2Pp4/8/PP2PPPP/RNBQKBNR w,g1-f3,1,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Indians,rnbqkb1r/pppppppp/5n2/8/3P4/8/PPP1PPPP/RNBQKBNR w,c2-c4,0.6,g1-f3,0.2,c1-g5,0.1,c1-f4,0.05,b1-c3,0.05,,
e6 vs Nf3,rnbqkb1r/pppp1ppp/4pn2/8/3P4/5N2/PPP1PPPP/RNBQKB1R w,c2-c4,0.5,g2-g3,0.2,e2-e3,0.1,c1-g5,0.1,c1-f4,0.1,,
e6 vs c4,rnbqkb1r/pppp1ppp/4pn2/8/2PP4/8/PP2PPPP/RNBQKBNR w,b1-c3,0.5,g1-f3,0.4,g2-g3,0.1,,,,,,
Nimzo,rnbqk2r/pppp1ppp/4pn2/8/1bPP4/2N5/PP2PPPP/R1BQKBNR w,e2-e3,0.4,d1-c2,0.4,g1-f3,0.1,f2-f3,0.1,,,,
QID,rnbqkb1r/p1pp1ppp/1p2pn2/8/2PP4/5N2/PP2PPPP/RNBQKB1R w,g2-g3,0.6,a2-a3,0.2,b1-c3,0.2,,,,,,
g6 vs Nf3,rnbqkb1r/pppppp1p/5np1/8/3P4/5N2/PPP1PPPP/RNBQKB1R w,c2-c4,0.5,g2-g3,0.2,b1-c3,0.1,c1-g5,0.1,c1-f4,0.1,,
g6 vs c4,rnbqkb1r/pppppp1p/5np1/8/2PP4/8/PP2PPPP/RNBQKBNR w,b1-c3,0.7,g1-f3,0.1,g2-g3,0.1,f2-f3,0.1,,,,
KID,rnbqk2r/ppppppbp/5np1/8/3P4/5NP1/PPP1PP1P/RNBQKB1R w,f1-g2,1,,,,,,,,,,
KID,rnbqk2r/ppppppbp/5np1/8/2PP4/5N2/PP2PPPP/RNBQKB1R w,b1-c3,0.5,g2-g3,0.5,,,,,,,,
KID,rnbqk2r/ppppppbp/5np1/8/2PP4/2N5/PP2PPPP/R1BQKBNR w,e2-e4,0.9,g1-f3,0.1,,,,,,,,
Gruenfeld,rnbqkb1r/ppp1pp1p/5np1/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR w,c4-d5,0.4,g1-f3,0.4,c1-f4,0.1,c1-g5,0.1,,,,
Gruenfeld,rnbqkb1r/ppp1pp1p/6p1/3n4/3P4/2N5/PP2PPPP/R1BQKBNR w,e2-e4,0.9,c1-d2,0.1,,,,,,,,
Nf3 Benoni,rnbqkb1r/pp1ppppp/5n2/2p5/3P4/5N2/PPP1PPPP/RNBQKB1R w,d4-d5,0.6,e2-e3,0.2,c2-c3,0.1,c2-c4,0.1,,,,
Benoni,rnbqkb1r/pp1ppppp/5n2/2p5/2PP4/8/PP2PPPP/RNBQKBNR w,d4-d5,0.8,g1-f3,0.15,e2-e3,0.05,,,,,,
Benoni,rnbqkb1r/pp1p1ppp/4pn2/2pP4/2P5/8/PP2PPPP/RNBQKBNR w,b1-c3,1,,,,,,,,,,
Benko,rnbqkb1r/p2ppppp/5n2/1ppP4/2P5/8/PP2PPPP/RNBQKBNR w,c4-b5,0.9,g1-f3,0.1,,,,,,,,
,,,,,,,,,,,,,
english,rnbqkb1r/pppppppp/5n2/8/2P5/8/PP1PPPPP/RNBQKBNR w,g1-f3,0.2,d2-d4,0.1,g2-g3,0.2,b1-c3,0.5,,,,
,rnbqkb1r/pppppp1p/5np1/8/2P5/5N2/PP1PPPPP/RNBQKB1R w,g2-g3,0.3,b1-c3,0.6,d2-d4,0.1,,,,,,
,rnbqkb1r/pppp1ppp/4pn2/8/2P5/5N2/PP1PPPPP/RNBQKB1R w,g2-g3,0.5,b1-c3,0.3,d2-d4,0.2,,,,,,
